CVE_ID,type_info,delta_t,Published_date,Severity
CVE-2020-6463,twitter,17.0,2020-05-21T04:15Z,HIGH
CVE-2020-15786,twitter,1.0,2020-09-09T19:15Z,CRITICAL
CVE-2017-10811,twitter,8.0,2017-08-18T13:29Z,MEDIUM
CVE-2020-13962,github,406.0,2020-06-09T00:15Z,HIGH
CVE-2019-19616,twitter,289.0,2019-12-06T03:15Z,MEDIUM
CVE-2020-6467,twitter,1.0,2020-05-21T04:15Z,HIGH
CVE-2020-13825,twitter,1.0,2020-08-20T01:17Z,MEDIUM
CVE-2020-3867,twitter,29.0,2020-02-27T21:15Z,MEDIUM
CVE-2017-0098,twitter,2.0,2017-03-17T00:59Z,MEDIUM
CVE-2021-33078,twitter,1.0,2022-05-12T17:15Z,MEDIUM
CVE-2021-22955,twitter,28.0,2021-12-07T14:15Z,HIGH
CVE-2020-5947,twitter,1.0,2020-11-19T01:15Z,MEDIUM
CVE-2018-19893,github,1.0,2018-12-06T03:29Z,CRITICAL
CVE-2021-20219,redhat,49.0,2021-03-23T17:15Z,MEDIUM
CVE-2018-1128,redhat,63.0,2018-07-10T14:29Z,HIGH
CVE-2020-11624,twitter,4.0,2020-07-23T21:15Z,CRITICAL
CVE-2021-43745,github,101.0,2022-02-24T22:15Z,MEDIUM
CVE-2020-8878,twitter,21.0,2020-03-20T19:15Z,HIGH
CVE-2019-8802,twitter,50.0,2019-12-18T18:15Z,HIGH
CVE-2017-16939,github,32.0,2017-11-24T10:29Z,HIGH
CVE-2021-39251,twitter,8.0,2021-09-07T15:15Z,HIGH
CVE-2020-23181,github,410.0,2021-07-02T18:15Z,MEDIUM
CVE-2020-6522,twitter,7.0,2020-07-22T17:15Z,CRITICAL
CVE-2020-11576,github,29.0,2020-04-08T18:15Z,MEDIUM
CVE-2019-20379,github,25.0,2020-01-11T03:15Z,MEDIUM
CVE-2019-18480,twitter,84.0,2019-10-28T15:15Z,
CVE-2020-8319,twitter,19.0,2020-04-14T21:15Z,HIGH
CVE-2021-35477,twitter,1.0,2021-08-02T04:15Z,MEDIUM
CVE-2019-8377,github,9.0,2019-02-17T02:29Z,HIGH
CVE-2020-15052,twitter,12.0,2020-07-20T17:15Z,HIGH
CVE-2016-5690,github,197.0,2016-12-13T15:59Z,CRITICAL
CVE-2016-7654,twitter,32.0,2017-02-20T08:59Z,HIGH
CVE-2017-2800,twitter,15.0,2017-05-24T14:29Z,CRITICAL
CVE-2017-14728,twitter,32.0,2019-06-03T19:29Z,CRITICAL
CVE-2017-17669,github,3.0,2017-12-13T22:29Z,MEDIUM
CVE-2019-16915,github,86.0,2019-09-26T18:15Z,CRITICAL
CVE-2021-22210,twitter,8.0,2021-05-06T14:15Z,MEDIUM
CVE-2021-4138,twitter,84.0,2022-05-02T23:15Z,MEDIUM
CVE-2020-14316,redhat,40.0,2020-07-29T19:15Z,CRITICAL
CVE-2020-13560,twitter,8.0,2020-12-22T18:15Z,HIGH
CVE-2020-23996,github,470.0,2021-05-13T20:15Z,HIGH
CVE-2021-34187,github,31.0,2021-06-28T16:15Z,CRITICAL
CVE-2020-12035,twitter,28.0,2020-06-29T14:15Z,MEDIUM
CVE-2019-6196,twitter,146.0,2020-06-09T20:15Z,HIGH
CVE-2018-19361,github,44.0,2019-01-02T18:29Z,CRITICAL
CVE-2017-3253,twitter,8.0,2017-01-27T22:59Z,HIGH
CVE-2021-2221,twitter,1.0,2021-04-22T22:15Z,CRITICAL
CVE-2017-3815,twitter,1.0,2017-03-17T22:59Z,MEDIUM
CVE-2017-14083,twitter,8.0,2017-10-06T01:29Z,HIGH
CVE-2019-9811,twitter,13.0,2019-07-23T14:15Z,HIGH
CVE-2019-5665,twitter,1.0,2019-02-27T23:29Z,HIGH
CVE-2020-21180,github,431.0,2021-02-01T18:15Z,CRITICAL
CVE-2020-35853,twitter,1.0,2021-01-26T18:15Z,MEDIUM
CVE-2017-10617,twitter,2.0,2017-10-13T17:29Z,MEDIUM
CVE-2018-20595,github,1.0,2018-12-30T18:29Z,HIGH
CVE-2020-24346,github,46.0,2020-08-13T19:15Z,HIGH
CVE-2018-14661,redhat,23.0,2018-10-31T20:29Z,MEDIUM
CVE-2017-5875,github,0.0,2017-02-06T15:59Z,MEDIUM
CVE-2017-1359,twitter,1.0,2017-10-03T01:29Z,MEDIUM
CVE-2017-9449,github,0.0,2017-06-06T15:29Z,HIGH
CVE-2017-1217,twitter,6.0,2017-07-05T13:29Z,MEDIUM
CVE-2021-28092,twitter,1.0,2021-03-12T22:15Z,HIGH
CVE-2018-3723,github,119.0,2018-06-07T02:29Z,HIGH
CVE-2021-23445,github,6.0,2021-09-27T17:15Z,MEDIUM
CVE-2018-4248,twitter,267.0,2019-04-03T18:29Z,HIGH
CVE-2018-8231,twitter,2.0,2018-06-14T12:29Z,HIGH
CVE-2016-10006,github,6.0,2016-12-24T18:59Z,MEDIUM
CVE-2021-46168,github,12.0,2022-01-14T21:15Z,MEDIUM
CVE-2017-3164,twitter,23.0,2019-03-08T21:29Z,HIGH
CVE-2020-29244,github,38.0,2020-12-28T08:15Z,MEDIUM
CVE-2021-23758,github,37.0,2021-12-03T20:15Z,CRITICAL
CVE-2019-11048,twitter,5.0,2020-05-20T08:15Z,MEDIUM
CVE-2017-8326,github,7.0,2017-04-29T20:59Z,HIGH
CVE-2021-40860,twitter,58.0,2021-12-08T15:15Z,HIGH
CVE-2018-18923,twitter,38.0,2018-12-13T19:29Z,CRITICAL
CVE-2018-17309,twitter,1.0,2018-09-26T22:29Z,MEDIUM
CVE-2020-26878,twitter,1.0,2020-10-26T20:15Z,HIGH
CVE-2018-16424,github,20.0,2018-09-04T00:29Z,MEDIUM
CVE-2017-7412,github,0.0,2017-04-04T00:59Z,HIGH
CVE-2018-1000664,github,2120.0,2018-09-06T17:29Z,MEDIUM
CVE-2020-5229,github,1.0,2020-01-30T20:15Z,HIGH
CVE-2019-5435,twitter,6.0,2019-05-28T19:29Z,LOW
CVE-2021-37750,github,3.0,2021-08-23T05:15Z,MEDIUM
CVE-2020-16171,twitter,6.0,2020-09-21T14:15Z,MEDIUM
CVE-2021-31616,github,21.0,2021-05-06T13:15Z,HIGH
CVE-2021-34736,twitter,1.0,2021-10-21T03:15Z,HIGH
CVE-2020-18664,twitter,443.0,2021-06-24T16:15Z,MEDIUM
CVE-2018-1920,twitter,4.0,2018-12-07T16:29Z,HIGH
CVE-2019-11810,github,76.0,2019-05-07T14:29Z,HIGH
